355	19	97	145	12.3	967	871	28	
298	0	107	210	11	880	744	28	
133	210	0	196	3	949	795	28	
261	100	78	201	9	864	761	28	
250	0	95.7	191.8	5.3	948.9	857.2	56	
525	0	0	189	0	1125	613	180	
400	0	0	187	0	1025	745	7	
425	106.3	0	153.5	16.5	852.1	887.1	3	
313	145	0	127	8	1000	822	28	
122.6	183.9	0	203.5	0	958.2	800.1	28	
159	209	161	201	7	848	669	28	
135	0	166	180	10	961	805	28	
181.4	0	167	169.6	7.6	1055.6	777.8	28	
287	121	94	188	9	904	696	28	
350	0	0	203	0	974	775	28	
313	145	0	178	8	867	824	28	
250	0	95.7	191.8	5.3	948.9	857.2	3	
332.5	142.5	0	228	0	932	594	180	
337.9	189	0	174.9	9.5	944.7	755.8	7	
522	0	0	146	0	896	896	28	
425	106.3	0	153.5	16.5	852.1	887.1	3	
313.3	262.2	0	175.5	8.6	1046.9	611.8	91	
250	0	95.7	187.4	5.5	956.9	861.2	3	
190.3	0	125.2	166.6	9.9	1079	798.9	14	
275.1	0	121.4	159.5	9.9	1053.6	777.5	14	
172.4	13.6	172.4	156.8	4.1	1006.3	856.4	56	
236	0	0	194	0	968	885	28	
385	0	0	186	0	966	763	28	
475	0	0	228	0	932	594	7	
166.1	0	163.3	176.5	4.5	1058.6	780.1	28	
382.5	0	0	185.7	0	1047.8	739.3	7	
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	14	
359	19	141	154	10.9	942	801	7	
277.1	0	97.4	160.6	11.8	973.9	875.6	100	
186.2	124.1	0	185.7	0	1083.4	764.3	28	
298.1	0	107	186.4	6.1	879	815.2	28	
139.7	163.9	127.7	236.7	5.8	868.6	655.6	28	
200	0	0	180	0	1125	845	7	
237.5	237.5	0	228	0	932	594	365	
213.5	0	174.2	154.6	11.7	1052.3	775.5	56	
139.6	209.4	0	192	0	1047	806.9	360	
397	0	0	185.7	0	1040.6	734.3	28	
304	140	0	214	6	895	722	28	
446	24	79	162	11.6	967	712	7	
339	0	0	197	0	968	781	90	
375	93.8	0	126.6	23.4	852.1	992.6	28	
286.3	200.9	0	144.7	11.2	1004.6	803.7	7	
140	164	128	237	6	869	656	28	
350	0	0	186	0	1050	770	28	
339	0	0	197	0	968	781	28	
382	0	0	186	0	1047	739	28	
212.6	0	100.4	159.4	10.4	1003.8	903.8	56	
313.3	262.2	0	175.5	8.6	1046.9	611.8	3	
150.7	0	185.3	166.7	15.6	1074.5	678	28	
379.5	151.2	0	153.9	15.9	1134.3	605	56	
296	0	0	192	0	1085	765	7	
388.6	97.1	0	157.9	12.1	852.1	925.7	28	
318	0	126	210	6	861	737	28	
164	0	200	181	13	849	846	28	
339	0	0	185	0	1060	754	28	
190.3	0	125.2	161.9	9.9	1088.1	802.6	28	
212.1	0	121.6	180.3	5.7	1057.6	779.3	28	
362.6	189	0	164.9	11.6	944.7	755.8	91	
153	102	0	192	0	888	943.1	3	
337.9	189	0	174.9	9.5	944.7	755.8	3	
212.1	0	121.6	180.3	5.7	1057.6	779.3	56	
212	141.3	0	203.5	0	973.4	750	90	
213.8	98.1	24.5	181.7	6.7	1066	785.5	14	
321	0	128	182	11	870	780	28	
500	0	0	200	0	1125	613	14	
295	0	0	185	0	1069	769	7	
380	0	0	228	0	932	670	180	
424	22	132	168	8.9	822	750	28	
141.3	212	0	203.5	0	971.8	748.5	28	
387	20	94	157	14.3	938	845	56	
439	177	0	186	11.1	884.9	707.9	7	
136.4	161.6	125.8	171.6	10.4	922.6	764.4	28	
139.6	209.4	0	192	0	1047	806.9	3	
336	0	0	182	3	986	817	28	
500	0	0	151	9	1033	655	28	
307	0	0	193	0	968	812	365	
289	133.7	0	194.9	5.5	924.1	760.1	28	
272.6	0	89.6	198.7	10.6	931.3	762.2	28	
401.8	94.7	0	147.4	11.4	946.8	852.1	56	
280	129	100	172	9	825	805	28	
165	0	150	182	12	1023	729	28	
393	0	0	192	0	940.6	785.6	90	
266.2	112.3	87.5	177.9	10.4	909.7	744.5	28	
141.3	212	0	203.5	0	971.8	748.5	7	
236	157	0	192	0	972.6	749.1	3	
266	114	0	228	0	932	670	270	
213.7	0	174.7	154.8	10.2	1053.5	776.4	28	
446	24	79	162	11.6	967	712	28	
229.7	0	118.2	195.2	6.1	1028.1	757.6	56	
261.9	110.5	86.1	195.4	5	895.2	732.6	28	
238	0	0	186	0	1119	789	28	
166.8	250.2	0	203.5	0	975.6	692.6	3	
139.6	209.4	0	192	0	1047	806.9	7	
379.5	151.2	0	153.9	15.9	1134.3	605	3	
212.6	0	100.4	159.4	10.4	1003.8	903.8	3	
246.8	0	125.1	143.3	12	1086.8	800.9	28	
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	56	
153.1	145	113	178.5	8	1001.9	688.7	28	
480	0	0	192	0	936.2	712.2	7	
375	93.8	0	126.6	23.4	852.1	992.6	56	
234	156	0	189	5.9	981	760	28	
166	259.7	0	183.2	12.7	858.8	826.8	28	
382	0	0	185	0	1047	739	7	
218.9	0	124.1	158.5	11.3	1078.7	794.9	56	
165	128.5	132.1	175.1	8.1	1005.8	746.6	3	
157	236	0	192	0	935.4	781.2	7	
170.3	155.5	0	185.7	0	1026.6	724.3	7	
194.7	0	100.5	170.2	7.5	998	901.8	14	
157	236	0	192	0	935.4	781.2	28	
297.2	0	117.5	174.8	9.5	1022.8	753.5	28	
310	0	0	192	0	970	850	7	
349	0	0	192	0	1056	809	28	
181.9	272.8	0	185.7	0	1012.4	714.3	7	
265	111	86	195	6	833	790	28	
424	22	132	178	8.5	882	750	3	
141.3	212	0	203.5	0	971.8	748.5	3	
252	0	0	185	0	1111	784	28	
362.6	189	0	164.9	11.6	944.7	755.8	3	
380	95	0	228	0	932	594	365	
531.3	0	0	141.8	28.2	852.1	893.7	7	
153	145	113	178	8	1002	689	28	
156	178	187	221	7	854	614	28	
277	0	0	191	0	968	856	14	
153.6	144.2	112.3	220.1	10.1	923.2	657.9	28	
139.6	209.4	0	192	0	1047	806.9	28	
150.9	0	183.9	166.6	11.6	991.2	772.2	28	
321.3	164.2	0	190.5	4.6	870	774	28	
321.4	0	127.9	182.5	11.5	870.1	779.7	28	
425	106.3	0	153.5	16.5	852.1	887.1	28	
135	105	193	196	6	965	643	28	
212	141.3	0	203.5	0	973.4	750	3	
252	0	0	185	0	1111	784	7	
190.3	0	125.2	166.6	9.9	1079	798.9	28	
239.6	359.4	0	185.7	0	941.6	664.3	28	
374	189.2	0	170.1	10.1	926.1	756.7	7	
374.3	0	0	190.2	6.7	1013.2	730.4	28	
